epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1538,1.39968,6.03652,3.02258,1.91858,0.00143,0.07692,0.00048,0.00038,0.00033,0.07692,0.00018,9e-05,0.62702,2.3734,37.6344,1.03392,0.00038,0.00038,0.00038
2,147.561,0.72835,2.97137,1.90226,1.31011,0.00075,0.15385,0.00042,0.00024,0,0,0,0,4.22628,10.9175,657.934,3.44427,0.000764556,0.000764556,0.000764556
3,259.675,1.01156,1.657,2.21814,1.47059,0.16219,0.76923,0.60773,0.51134,0.16219,0.76923,0.61132,0.50433,0.51779,1.70971,21.1556,1.13515,0.00113327,0.00113327,0.00113327
4,455.343,0.78026,1.25303,1.80776,1.36351,0.00914,0.23077,0.00331,0.00105,0.00824,0.23077,0.00331,0.00088,2.48582,3.00035,13.812,2.37523,0.00148615,0.00148615,0.00148615
5,618.035,1.1258,1.30997,2.18879,1.45851,0.00914,0.23077,0.00331,0.00105,0.00824,0.23077,0.00331,0.00088,2.48582,3.00035,13.812,2.37523,0.00182318,0.00182318,0.00182318
6,754.133,1.0159,0.93742,1.86458,1.42405,0.06982,0.15385,0.01825,0.0023,0.06982,0.15385,0.01825,0.00331,3.99431,12.9152,13.7296,5.23731,0.001802,0.001802,0.001802
7,885.545,0.98358,1.0631,1.59223,1.47882,0.06982,0.15385,0.01825,0.0023,0.06982,0.15385,0.01825,0.00331,3.99431,12.9152,13.7296,5.23731,0.0017624,0.0017624,0.0017624
8,1007.06,1.19954,0.95629,1.89396,1.56891,0.00235,0.07692,0.00066,9e-05,0.00033,0.07692,0.00025,5e-05,5.06963,3.22954,145.064,4.54289,0.0017228,0.0017228,0.0017228
9,1093.15,1.14974,1.17464,1.72841,1.48368,0.00939,0.23077,0.00367,0.0005,0.00939,0.23077,0.00367,0.0004,4.27773,2.02648,22.0756,4.09314,0.0016832,0.0016832,0.0016832
10,1169.53,0.89129,0.56548,1.43076,1.3891,0.00939,0.23077,0.00367,0.0005,0.00939,0.23077,0.00367,0.0004,4.27773,2.02648,22.0756,4.09314,0.0016436,0.0016436,0.0016436
11,1240.03,0.94572,0.96479,1.46011,1.46157,0.11587,0.53846,0.08504,0.01906,0.11587,0.53846,0.08504,0.01671,3.13586,1.3899,4.70159,3.98232,0.001604,0.001604,0.001604
12,1328.29,0.83886,0.97325,1.4536,1.3261,0.51931,0.53846,0.43031,0.1304,0.51931,0.53846,0.43031,0.11974,2.23241,1.98458,2.71796,3.06358,0.0015644,0.0015644,0.0015644
13,1413.49,0.7209,1.18363,1.17346,1.28006,0.51931,0.53846,0.43031,0.1304,0.51931,0.53846,0.43031,0.11974,2.23241,1.98458,2.71796,3.06358,0.0015248,0.0015248,0.0015248
14,1484.49,0.70799,0.60458,1.07478,1.24165,0.00327,0.61538,0.00259,0.00169,0.00327,0.61538,0.00259,0.00151,2.01728,8.52498,471.681,2.00433,0.0014852,0.0014852,0.0014852
15,1554.45,0.71944,0.80834,1.02643,1.27378,0.00327,0.61538,0.00259,0.00169,0.00327,0.61538,0.00259,0.00151,2.01728,8.52498,471.681,2.00433,0.0014456,0.0014456,0.0014456
16,1625.48,0.67604,0.6712,1.04571,1.21318,0.82119,0.38462,0.40422,0.29774,0.82119,0.38462,0.4023,0.27469,1.59015,4.69398,2.75352,2.59468,0.001406,0.001406,0.001406
17,1695.48,0.72887,0.80206,1.03479,1.23101,0.69984,0.61538,0.60761,0.29436,0.60894,0.53846,0.48684,0.16149,1.34636,11.4009,1.92986,3.0585,0.0013664,0.0013664,0.0013664
18,1760.92,0.69834,0.6893,1.00141,1.25938,0.69984,0.61538,0.60761,0.29436,0.60894,0.53846,0.48684,0.16149,1.34636,11.4009,1.92986,3.0585,0.0013268,0.0013268,0.0013268
19,1828.85,0.52371,0.67668,0.82773,1.12453,0.92839,0.46154,0.48392,0.23647,0.92839,0.46154,0.48392,0.20198,2.09476,4.48636,1.93111,1.99936,0.0012872,0.0012872,0.0012872
20,1896.93,0.52533,0.79124,0.85952,1.12759,0.7012,0.61538,0.58055,0.30616,0.7012,0.61538,0.58055,0.3056,1.82693,5.19242,2.10945,1.7632,0.0012476,0.0012476,0.0012476
21,1956.31,0.54953,0.44895,0.81114,1.19152,0.7012,0.61538,0.58055,0.30616,0.7012,0.61538,0.58055,0.3056,1.82693,5.19242,2.10945,1.7632,0.001208,0.001208,0.001208
22,2011.98,0.49776,0.65286,0.79324,1.11695,0.76819,0.76506,0.70942,0.55743,0.69136,0.68946,0.63059,0.51703,1.03597,1.1583,1.59635,1.13617,0.0011684,0.0011684,0.0011684
23,2069.06,0.49907,0.50467,0.7334,1.1191,0.76819,0.76506,0.70942,0.55743,0.69136,0.68946,0.63059,0.51703,1.03597,1.1583,1.59635,1.13617,0.0011288,0.0011288,0.0011288
24,2134.56,0.46441,0.46063,0.63149,1.10174,0.99354,0.69231,0.69584,0.50908,0.97155,0.61538,0.62184,0.46552,1.22769,1.56725,1.2455,1.2491,0.0010892,0.0010892,0.0010892
25,2207.74,0.53714,1.15569,0.68342,1.12007,0.80693,0.46154,0.50216,0.26909,0.80693,0.46154,0.5045,0.25645,2.29228,48.6253,2.24394,2.59951,0.0010496,0.0010496,0.0010496
26,2269.53,0.61764,0.47511,0.79648,1.1651,0.80693,0.46154,0.50216,0.26909,0.80693,0.46154,0.5045,0.25645,2.29228,48.6253,2.24394,2.59951,0.00101,0.00101,0.00101
